image_files,caption
./test/images/1.jpg,a plate of food on a table.
./test/images/10.jpg,a close up of a cow in a field.
./test/images/100.jpg,a hot dog on a plate with a fork.
./test/images/101.jpg,a close up of a bowl of food.
./test/images/102.jpg,a man holding a cell phone in his hand.
./test/images/103.jpg,a group of people sitting at a table eating food.
./test/images/104.jpg,a bicycle is parked on the side of the road.
./test/images/105.jpg,a pile of fruit sitting on top of a table.
./test/images/106.jpg,a bicycle is parked in front of a building.
./test/images/107.jpg,a person flying a kite in the sky.
./test/images/108.jpg,a person riding skis down a snow covered slope.
./test/images/109.jpg,a brown and white dog is sitting on a wire.
./test/images/11.jpg,a close up of a plate of food.
./test/images/110.jpg,a black and white photo of a clock tower.
./test/images/111.jpg,a tall tower with a clock on it.
./test/images/112.jpg,a bench sitting on top of a lush green hillside.
./test/images/113.jpg,a small boat in a body of water.
./test/images/114.jpg,a woman sitting at a table with a glass of wine.
./test/images/115.jpg,a large body of water at night.
./test/images/116.jpg,a bird sitting on top of a grass covered field.
./test/images/117.jpg,a person riding skis down a snow covered slope.
./test/images/118.jpg,a group of people sitting around a table.
./test/images/119.jpg,a close up of a bottle of water.
./test/images/12.jpg,a plate of food on a table.
./test/images/120.jpg,a clock tower is lit up at night.
./test/images/121.jpg,a view of a lake with a hanging in the background.
./test/images/122.jpg,a blue and blue bird sitting on top of a lush green field.
./test/images/123.jpg,a woman sitting on a bench in the water.
./test/images/124.jpg,a person holding a hand with a hand.
./test/images/125.jpg,a white bird is sitting on a branch.
./test/images/126.jpg,a brown and white dog is sitting on a wire.
./test/images/127.jpg,a table full of food and bowls of food.
./test/images/128.jpg,a person holding a blender with a bottle of water.
./test/images/129.jpg,a red fire hydrant sitting on top of a table.
./test/images/13.jpg,a close up of a vase of flowers.
./test/images/130.jpg,a slice of pizza sitting on top of a white plate.
./test/images/131.jpg,a car driving down the street at night.
./test/images/132.jpg,a glass of wine sitting on top of a table.
./test/images/133.jpg,a table with many plates of food on it.
./test/images/134.jpg,a luggage bag sitting on top of a sidewalk.
./test/images/135.jpg,a table topped with plates of food on a table.
./test/images/136.jpg,a living room with a couch and a chair.
./test/images/137.jpg,a group of people standing around a bus.
./test/images/138.jpg,a cow standing in a field with a cow in the background.
./test/images/139.jpg,a bicycle is parked next to a bicycle.
./test/images/14.jpg,a truck is parked on the side of the road.
./test/images/140.jpg,a woman standing in front of a bed in a room.
./test/images/141.jpg,a close up of a plate of food.
./test/images/142.jpg,a little boy sitting on a floor with a toy.
./test/images/143.jpg,a couple of cakes sitting on top of a plate.
./test/images/144.jpg,a teddy bear sitting on top of a bed.
./test/images/145.jpg,a teddy bear sitting next to a teddy bear.
./test/images/146.jpg,a motorcycle parked next to a black motorcycle.
./test/images/147.jpg,a red and red car is parked in a car.
./test/images/148.jpg,a black and white photo of a man on a motorcycle.
./test/images/149.jpg,a row of parked cars parked next to each other.
./test/images/15.jpg,a close up of a box of doughnuts.
./test/images/150.jpg,a man riding a motorcycle on a road.
./test/images/151.jpg,a man standing on top of a snow covered slope.
./test/images/152.jpg,a horse grazing in a field with a hanging in the background.
./test/images/153.jpg,a woman is standing on the side of the road.
./test/images/154.jpg,a couple of shoes sitting next to each other.
./test/images/156.jpg,a large airplane sitting on top of a grass covered field.
./test/images/157.jpg,a bunch of pink flowers sitting on a table.
./test/images/158.jpg,a group of people standing in the snow.
./test/images/159.jpg,a group of people posing for a picture.
./test/images/16.jpg,a close up of a box of doughnuts.
./test/images/160.jpg,a woman standing next to a brown horse.
./test/images/161.jpg,a brown and white horse standing in a field.
./test/images/162.jpg,a close up of a snow covered field.
./test/images/163.jpg,two men playing soccer on a field.
./test/images/164.jpg,a man holding a tennis racquet on a tennis court.
./test/images/165.jpg,a group of people standing on a tennis court.
./test/images/166.jpg,a group of men playing soccer on a field.
./test/images/167.jpg,a baseball player holding a bat on a field.
./test/images/168.jpg,a man is playing a game of frisbee.
./test/images/169.jpg,a group of people playing a game of soccer.
./test/images/17.jpg,a vase filled with flowers in a vase.
./test/images/170.jpg,two people playing tennis on a tennis court.
./test/images/171.jpg,a group of people playing a game of soccer.
./test/images/173.jpg,a group of people playing tennis on a tennis court.
./test/images/174.jpg,a group of people playing a game of tennis.
./test/images/175.jpg,a group of men playing soccer on a field.
./test/images/176.jpg,a black suitcase sitting on top of a floor.
./test/images/177.jpg,a group of people standing around a car.
./test/images/178.jpg,a blue suitcase sitting on top of a floor.
./test/images/179.jpg,a group of people sitting at a table.
./test/images/18.jpg,a bunch of flowers are sitting on a table.
./test/images/180.jpg,a large rock wall with a large rock.
./test/images/181.jpg,a man standing on a rock in the water.
./test/images/182.jpg,a woman is standing next to a rock.
./test/images/183.jpg,a couple of people sitting on top of a rock.
./test/images/184.jpg,a close up of a bowl of food.
./test/images/185.jpg,a plate of food on a wooden table.
./test/images/186.jpg,a plate of food on a table.
./test/images/187.jpg,a couple of people sitting at a table with food.
./test/images/188.jpg,a bird is perched on a branch.
./test/images/189.jpg,a blue and blue bird with blue landing.
./test/images/19.jpg,a person holding an umbrella on the street.
./test/images/190.jpg,a person is surfing in the water.
./test/images/191.jpg,a group of people posing for a picture.
./test/images/192.jpg,a piece of cake sitting on top of a plate.
./test/images/193.jpg,a large jetliner sitting on top of a against.
./test/images/194.jpg,a vase filled with flowers on a table.
./test/images/195.jpg,a bathroom with a toilet and a sink.
./test/images/196.jpg,a person flying a kite in the sky.
./test/images/197.jpg,a cat laying on top of a couch.
./test/images/198.jpg,a bunch of flowers sitting on top of a tree.
./test/images/199.jpg,a bunch of pink flowers in a vase.
./test/images/2.jpg,a bottle of wine and bottles of wine.
./test/images/20.jpg,a view of a river with a hanging.
./test/images/200.jpg,a view of a sunset at night.
./test/images/201.jpg,a cat sitting on top of a wooden bench.
./test/images/202.jpg,a boat roll in the water near a body of water.
./test/images/203.jpg,a park bench with trees in the background.
./test/images/204.jpg,a boat floating in the water near a lake.
./test/images/205.jpg,a woman holding a bicycle next to a bicycle.
./test/images/206.jpg,a view of a road with moving in the background.
./test/images/207.jpg,a woman wearing a hat and a hat.
./test/images/208.jpg,a boat on the water near a lake.
./test/images/209.jpg,a woman standing next to a stone wall.
./test/images/21.jpg,a birthday cake with a candle on it.
./test/images/210.jpg,a laptop computer sitting on top of a table.
./test/images/211.jpg,a woman standing in front of a tree with flowers.
./test/images/212.jpg,a woman standing in front of an airplane.
./test/images/213.jpg,a close up of a plate of food.
./test/images/214.jpg,a red plate topped with a plate of food.
./test/images/215.jpg,a birthday cake with a candle on it.
./test/images/216.jpg,a man wearing a hat and a hat.
./test/images/217.jpg,a woman standing next to a car in a parking lot.
./test/images/218.jpg,two people riding pictures on a street.
./test/images/219.jpg,a woman standing on a lush green field.
./test/images/22.jpg,a laptop computer sitting on top of a desk.
./test/images/220.jpg,a dog is sitting on the back of a car.
./test/images/221.jpg,a white plate topped with food on a table.
./test/images/222.jpg,a couple of people riding pictures down a street.
./test/images/223.jpg,a piece of cake on a white plate.
./test/images/224.jpg,a woman in a red shirt is holding a cell phone.
./test/images/225.jpg,a close up of a plate of food.
./test/images/226.jpg,a close up of a cup of coffee.
./test/images/227.jpg,a cup of coffee and a cup of coffee.
./test/images/228.jpg,a cup of coffee sitting on a table.
./test/images/229.jpg,a man in a blue shirt is standing next to a car.
./test/images/23.jpg,a cat laying on top of a bed.
./test/images/230.jpg,a man sitting on a motorcycle in front of a building.
./test/images/231.jpg,a couple of people sitting on a couch.
./test/images/232.jpg,a man standing on a lush green field.
./test/images/233.jpg,a close up of a plate of food.
./test/images/234.jpg,a bicycle is parked in front of a building.
./test/images/235.jpg,a glass of wine sitting on top of a table.
./test/images/236.jpg,a man is sitting on a park bench.
./test/images/237.jpg,a man sitting at a table using a laptop.
./test/images/238.jpg,a close up of a pair of shoes.
./test/images/239.jpg,a woman sitting at a table with a glass of wine.
./test/images/24.jpg,a group of people standing on top of a sandy beach.
./test/images/240.jpg,a view of a tall building with trees.
./test/images/241.jpg,a group of people sitting on a bench.
./test/images/242.jpg,a woman is sitting on a wooden bench.
./test/images/243.jpg,a close up of a bunch of yellow flowers.
./test/images/244.jpg,a baby is laying on a bed.
./test/images/245.jpg,a man standing in front of a rock and seen.
./test/images/246.jpg,a person standing in front of a television.
./test/images/247.jpg,a man sitting in front of a car.
./test/images/248.jpg,a view of a city street at night.
./test/images/249.jpg,a sign that is on the side of a road.
./test/images/25.jpg,a couple of people sitting at a table.
./test/images/250.jpg,a person holding a cell phone in their hand.
./test/images/251.jpg,a young boy wearing a hat and a hat.
./test/images/252.jpg,a pair of scissors sitting on top of a table.
./test/images/253.jpg,a woman sitting at a table with a plate of food.
./test/images/254.jpg,a laptop computer sitting on top of a desk.
./test/images/255.jpg,a group of children sitting on a bench.
./test/images/256.jpg,a bowl of soup sitting on a table.
./test/images/257.jpg,a group of people posing for a picture.
./test/images/258.jpg,a woman standing next to a red motorcycle.
./test/images/259.jpg,a woman sitting in front of a tree.
./test/images/26.jpg,a woman sitting at a table with a glass of wine.
./test/images/260.jpg,a man standing next to a brick wall.
./test/images/261.jpg,a woman is sitting on a motorcycle in front of a building.
./test/images/262.jpg,a close up of a sandwich on a plate.
./test/images/263.jpg,a birthday cake with candles on top of it.
./test/images/264.jpg,a woman in a black shirt and a white tie.
./test/images/27.jpg,a young boy in a blue shirt and tie.
./test/images/28.jpg,a couple of people sitting at a table.
./test/images/29.jpg,a woman sitting on a bench in front of a building.
./test/images/3.jpg,a close up of a bunch of flowers.
./test/images/30.jpg,two cups of coffee sitting on a table.
./test/images/31.jpg,a woman in a kitchen preparing food in a kitchen.
./test/images/32.jpg,a woman sitting at a table with a plate of food.
./test/images/33.jpg,a birthday cake with crossing frosting on it.
./test/images/34.jpg,a man sitting at a table with a laptop.
./test/images/35.jpg,a close up of a cup of coffee.
./test/images/36.jpg,a woman sitting in front of a window.
./test/images/37.jpg,a group of people posing for a picture.
./test/images/38.jpg,a view of a road with a hanging.
./test/images/39.jpg,a white umbrella sitting on top of a bed.
./test/images/4.jpg,a view of a city street at night.
./test/images/40.jpg,a pizza sitting on top of a white plate.
./test/images/41.jpg,a man standing on top of a lush green field.
./test/images/42.jpg,a man standing on top of a lush green field.
./test/images/43.jpg,a horse standing in a field with a hanging in the background.
./test/images/44.jpg,a woman and a woman standing next to a horse.
./test/images/45.jpg,a woman standing on top of a lush green field.
./test/images/46.jpg,a piece of cake is on a plate.
./test/images/47.jpg,a rear view mirror of a car in the mirror.
./test/images/48.jpg,a red truck parked in front of a building.
./test/images/49.jpg,a close up of a giraffe in a field.
./test/images/5.jpg,a close up of a cake on a plate.
./test/images/50.jpg,a woman standing next to a small truck.
./test/images/51.jpg,a group of people standing on top of a sandy beach.
./test/images/52.jpg,a man sitting on top of a lush green field.
./test/images/53.jpg,a bunch of wine bottles sitting on top of a table.
./test/images/54.jpg,a green vase filled with green flowers.
./test/images/55.jpg,a couple of people sitting on top of a beach.
./test/images/56.jpg,a woman sitting on a bench in front of a window.
./test/images/57.jpg,a wooden bench sitting on top of a lush green field.
./test/images/58.jpg,a couple of horses standing in a field.
./test/images/59.jpg,a herd of sheep standing in a field.
./test/images/6.jpg,a woman sitting at a table with a cake.
./test/images/60.jpg,a couple of people standing on top of a dirt field.
./test/images/61.jpg,a woman standing in front of a brick building.
./test/images/62.jpg,a couple of people standing on top of a beach.
./test/images/63.jpg,a woman standing on the beach holding a surfboard.
./test/images/64.jpg,a woman sitting on a bench on a bench.
./test/images/65.jpg,a woman standing on top of a snow covered slope.
./test/images/66.jpg,a person riding skis down a snow covered slope.
./test/images/67.jpg,a brown and white horse standing in a field.
./test/images/68.jpg,a person on a meat in the snow.
./test/images/69.jpg,a small bird perched on a branch of a tree.
./test/images/7.jpg,a close up of a plate of food.
./test/images/70.jpg,a view of a beach with a sunset.
./test/images/71.jpg,a man standing next to a stone wall.
./test/images/72.jpg,a large white plane sitting on top of a field.
./test/images/73.jpg,a black and white photo of an airplane.
./test/images/74.jpg,a large body of water with moving in the background.
./test/images/75.jpg,a couple of people sitting on top of a beach.
./test/images/76.jpg,a white bird flying through the air.
./test/images/77.jpg,a woman standing next to a stone wall.
./test/images/78.jpg,a brown horse is standing in a field.
./test/images/79.jpg,a person riding a bike down a street.
./test/images/8.jpg,a cutting board with a half and a half.
./test/images/80.jpg,a close up of a bunch of flowers.
./test/images/81.jpg,a close up of a plate of food.
./test/images/82.jpg,a cup of coffee and a cup of coffee.
./test/images/83.jpg,a blurry photo of a person on a skateboard.
./test/images/84.jpg,a blurry view of a dark street at night.
./test/images/85.jpg,a little girl holding a teddy bear on a couch.
./test/images/86.jpg,a woman is smiling while holding a cake.
./test/images/87.jpg,a group of people standing next to each other.
./test/images/88.jpg,a piece of cake on a plate on a table.
./test/images/89.jpg,a group of people riding pictures down a road.
./test/images/9.jpg,a plate of food on a table.
./test/images/90.jpg,a white plate topped with a plate of food.
./test/images/91.jpg,a bowl of fruit and a bowl of fruit.
./test/images/92.jpg,a road with trees and trees on it.
./test/images/93.jpg,a man riding a bike down a dirt road.
./test/images/94.jpg,a man is standing next to a bike.
./test/images/95.jpg,a close up of a cake on a table.
./test/images/96.jpg,a bowl of soup sitting on a table.
./test/images/97.jpg,a woman sitting on a motorcycle in front of a tree.
./test/images/98.jpg,a man cutting a cake on a table.
./test/images/99.jpg,a woman riding a bike down a street.
